category,city,name,address,phone,map_url
restaurant,Dhaka,Travel East Banani,"25b Rd No 18, Dhaka 1212",01713-325801,https://www.google.com/maps/place/Travel+East+Banani/data=!4m7!3m6!1s0x3755c7b813311f6b:0x6c84be7d65cb36a4!8m2!3d23.7959592!4d90.4051517!16s%2Fg%2F11s32zrz75!19sChIJax8xE7jHVTcRpDbLZX2-hGw?authuser=0&hl=en&rclk=1
restaurant,Dhaka,MANZO Restaurant Dhaka,"2nd Floor, 114 Gulshan Ave, Dhaka 1212",01329-668880,https://www.google.com/maps/place/MANZO+Restaurant+Dhaka/data=!4m7!3m6!1s0x3755c7f976bc8d95:0xd0a7fec236daf188!8m2!3d23.7891724!4d90.4166786!16s%2Fg%2F11srwxxjhs!19sChIJlY28dvnHVTcRiPHaNsL-p9A?authuser=0&hl=en&rclk=1
restaurant,Dhaka,Thai Chi Restaurant & Cafe,"Level 7, 117/A, Puraton, Rangs Bhaban, Bijay Sarani, Biman Bondor Sarak, Dhaka 1216",01711-901034,https://www.google.com/maps/place/Thai+Chi+Restaurant+%26+Cafe/data=!4m7!3m6!1s0x3755c75f31d73d5f:0x8b155f49f976ab2b!8m2!3d23.7647457!4d90.3896255!16s%2Fg%2F11xdm8bj8!19sChIJXz3XMV_HVTcRK6t2-UlfFYs?authuser=0&hl=en&rclk=1
restaurant,Dhaka,Ozz Cafe,"Bangladesh Eye Hospital, House-133, Road-9/A, New Captain Road Er pichone, Dhaka 1205",01611-501076,https://www.google.com/maps/place/Ozz+Cafe/data=!4m7!3m6!1s0x3755bf50215d2885:0x73b4574a678e2e65!8m2!3d23.7515687!4d90.3666725!16s%2Fg%2F11c5t2yjtg!19sChIJhShdIVC_VTcRZS6OZ0pXtHM?authuser=0&hl=en&rclk=1
restaurant,Dhaka,Tu do Restaurant,"House- 59 Road No.7, Dhaka 1213",01329-673193,https://www.google.com/maps/place/Tu+do+Restaurant/data=!4m7!3m6!1s0x3755c567c7ec84ff:0x2ec0eb3c4056d1f0!8m2!3d23.7898093!4d90.4036356!16s%2Fg%2F11lv8ytwjh!19sChIJ_4Tsx2fFVTcR8NFWQDzrwC4?authuser=0&hl=en&rclk=1
restaurant,Dhaka,Breeze Restaurant,"House# 1/C, 1/D, Road# 16, Dhaka 1229",01305-073888,https://www.google.com/maps/place/Breeze+Restaurant/data=!4m7!3m6!1s0x3755c7f2ea2a55b1:0xc7941d4ae95c59a!8m2!3d23.8341048!4d90.4180982!16s%2Fg%2F11nmphdn8p!19sChIJsVUq6vLHVTcRmsWVrtRBeQw?authuser=0&hl=en&rclk=1
restaurant,Dhaka,Ciao Dhaka,"House 18 Rd No 10A, Dhaka 1212",01791-940409,https://www.google.com/maps/place/Ciao+Dhaka/data=!4m7!3m6!1s0x3755c7ce846d0d47:0xeb33b8d7bcc9a374!8m2!3d23.7898768!4d90.4068448!16s%2Fg%2F11y8_pg2yl!19sChIJRw1thM7HVTcRdKPJvNe4M-s?authuser=0&hl=en&rclk=1
restaurant,Dhaka,VAULT | Modern Asian Restaurant,"Autograph Tower, 67-68 Kemal Ataturk Ave, Dhaka 1213",01897-646488,https://www.google.com/maps/place/VAULT+%7C+Modern+Asian+Restaurant/data=!4m7!3m6!1s0x3755c751fccf11ab:0xc4915cd4dd246d88!8m2!3d23.7945239!4d90.4039501!16s%2Fg%2F11wj2brdc9!19sChIJqxHP_FHHVTcRiG0k3dRckcQ?authuser=0&hl=en&rclk=1
restaurant,Dhaka,Seasonal Tastes,"The Westin, Main Gulshan Ave, Dhaka 1212",01730-304871,https://www.google.com/maps/place/Seasonal+Tastes/data=!4m7!3m6!1s0x3755c7b5c7fd929d:0x6ba7f3ac5654648e!8m2!3d23.7933656!4d90.4146485!16s%2Fg%2F11fkn0mzrx!19sChIJnZL9x7XHVTcRjmRUVqzzp2s?authuser=0&hl=en&rclk=1
restaurant,Dhaka,Bistro-E,"1st Floor NE (N, Bay's Edgewater, 12 Felani Ave, Dhaka 1212",01799-337700,https://www.google.com/maps/place/Bistro-E/data=!4m7!3m6!1s0x3755c7a5d712e84f:0x836398f3c3864042!8m2!3d23.7960897!4d90.4174215!16s%2Fg%2F11bvt4nslb!19sChIJT-gS16XHVTcRQkCGw_OYY4M?authuser=0&hl=en&rclk=1
