category,city,name,address,phone,map_url
restaurant,Dhaka,Thai Chi Restaurant & Cafe,"Level 7, 117/A, Puraton, Rangs Bhaban, Bijay Sarani, Biman Bondor Sarak, Dhaka 1216",01711-901034,"https://www.google.com/maps/place/Thai+Chi+Restaurant+%26+Cafe/@23.7647457,90.3175277,13z/data=!3m1!5s0x3755c75f3738b8e9:0xaf773a09f829cfbf!4m10!1m2!2m1!1srestaurant+in+Dhaka!3m6!1s0x3755c75f31d73d5f:0x8b155f49f976ab2b!8m2!3d23.7647457!4d90.3896255!15sChNyZXN0YXVyYW50IGluIERoYWthWhUiE3Jlc3RhdXJhbnQgaW4gZGhha2GSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0wYVdONU1VNVJFQUXgAQD6AQQIABAz!16s%2Fg%2F11xdm8bj8?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
restaurant,Dhaka,Seasonal Tastes,"The Westin, Main Gulshan Ave, Dhaka 1212",01730-304871,"https://www.google.com/maps/place/Seasonal+Tastes/@23.7647457,90.3175277,13z/data=!4m10!1m2!2m1!1srestaurant+in+Dhaka!3m6!1s0x3755c7b5c7fd929d:0x6ba7f3ac5654648e!8m2!3d23.7933656!4d90.4146485!15sChNyZXN0YXVyYW50IGluIERoYWthWhUiE3Jlc3RhdXJhbnQgaW4gZGhha2GSAQpyZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwU05XSkhjRVZWUlZFd1VWVmtRMkpGV2sxT1dHOTBXVEpLU2xkdVl4QULgAQD6AQQIABBH!16s%2Fg%2F11fkn0mzrx?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
restaurant,Dhaka,Breeze Restaurant,"House# 1/C, 1/D, Road# 16, Dhaka 1229",01305-073888,"https://www.google.com/maps/place/Breeze+Restaurant/@23.7647457,90.3175277,13z/data=!4m10!1m2!2m1!1srestaurant+in+Dhaka!3m6!1s0x3755c7f2ea2a55b1:0xc7941d4ae95c59a!8m2!3d23.8341048!4d90.4180982!15sChNyZXN0YXVyYW50IGluIERoYWthWhUiE3Jlc3RhdXJhbnQgaW4gZGhha2GSARZmaW5lX2RpbmluZ19yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJvTUUwM1dsWkJFQUXgAQD6AQQIABA1!16s%2Fg%2F11nmphdn8p?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
restaurant,Dhaka,Bistro-E,"1st Floor NE (N, Bay's Edgewater, 12 Felani Ave, Dhaka 1212",01799-337700,"https://www.google.com/maps/place/Bistro-E/@23.8341048,90.3460004,13z/data=!4m10!1m2!2m1!1srestaurant+in+Dhaka!3m6!1s0x3755c7a5d712e84f:0x836398f3c3864042!8m2!3d23.7960897!4d90.4174215!15sChNyZXN0YXVyYW50IGluIERoYWthWhUiE3Jlc3RhdXJhbnQgaW4gZGhha2GSAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU40Y1c5TFMzUjNSUkFC4AEA-gEECAAQNg!16s%2Fg%2F11bvt4nslb?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
restaurant,Dhaka,The Garden Kitchen at Sheraton Dhaka,"44 Kemal Ataturk Ave, Dhaka 1213",01313-709099,"https://www.google.com/maps/place/The+Garden+Kitchen+at+Sheraton+Dhaka/@23.8341048,90.3460004,13z/data=!4m10!1m2!2m1!1srestaurant+in+Dhaka!3m6!1s0x3755c7d85e15a855:0xbf32b5c455b0e809!8m2!3d23.7930616!4d90.4060697!15sChNyZXN0YXVyYW50IGluIERoYWthWhUiE3Jlc3RhdXJhbnQgaW4gZGhha2GSAQpyZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1d2RWRnROVXRPUlRGSVdqRlJlVlV5WXpKVFYyUlBXVlYwVVZsdFl4QULgAQD6AQQIIRA3!16s%2Fg%2F11smct8mpy?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
restaurant,Dhaka,The Grove Bistro,"Level 12, Hamid Tower, Gulshan Circle 2",01315-063084,"https://www.google.com/maps/place/The+Grove+Bistro/@23.8341048,90.3460004,13z/data=!4m10!1m2!2m1!1srestaurant+in+Dhaka!3m6!1s0x3755c7e8631ff7ab:0x20a244f263d33abe!8m2!3d23.7951945!4d90.4148383!15sChNyZXN0YXVyYW50IGluIERoYWthWhUiE3Jlc3RhdXJhbnQgaW4gZGhha2GSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWTVQzVnRaV0U0TkY5bWRrcG5FQUXgAQD6AQQIHBA_!16s%2Fg%2F11hdphyhhj?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
restaurant,Dhaka,MANZO Restaurant Dhaka,"2nd Floor, 114 Gulshan Ave, Dhaka 1212",01329-668880,"https://www.google.com/maps/place/MANZO+Restaurant+Dhaka/@23.8341048,90.3460004,13z/data=!3m1!5s0x3755c7a184916399:0x94d6e0c27cc65110!4m10!1m2!2m1!1srestaurant+in+Dhaka!3m6!1s0x3755c7f976bc8d95:0xd0a7fec236daf188!8m2!3d23.7891724!4d90.4166786!15sChNyZXN0YXVyYW50IGluIERoYWthWhUiE3Jlc3RhdXJhbnQgaW4gZGhha2GSAQpyZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxd1VHUkZlSGhVVmxKVVZESmtWMUpXUWxKVWEwWk5WVzVGTVU1V1JSQULgAQD6AQQIABBD!16s%2Fg%2F11srwxxjhs?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
restaurant,Dhaka,Amrit restaurant,"21 Road No. 17, Dhaka 1212",01982-700700,"https://www.google.com/maps/place/Amrit+restaurant/@23.8341048,90.3460004,13z/data=!4m10!1m2!2m1!1srestaurant+in+Dhaka!3m6!1s0x3755c77f51ca42a7:0xcec1a898239faea6!8m2!3d23.7932824!4d90.4043256!15sChNyZXN0YXVyYW50IGluIERoYWthWhUiE3Jlc3RhdXJhbnQgaW4gZGhha2GSAQpyZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJrTmpaUGNXOTNSUkFC4AEA-gEECAAQTA!16s%2Fg%2F11h90_09st?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
restaurant,Dhaka,Chef's Table - Gulshan 2,"Gulshan Centre Point, Dhaka 1212",01918-643663,"https://www.google.com/maps/place/Chef's+Table+-+Gulshan+2/@23.8341048,90.3460004,13z/data=!3m1!5s0x3755c708fa3f7a7b:0x5a40c3daf7d10ff8!4m10!1m2!2m1!1srestaurant+in+Dhaka!3m6!1s0x3755c7429b9b4369:0xb10937f2b0542529!8m2!3d23.7957308!4d90.4149481!15sChNyZXN0YXVyYW50IGluIERoYWthWhUiE3Jlc3RhdXJhbnQgaW4gZGhha2GSAQpyZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4V1VXVlZSbGhZTUhNeVZrVkdiR1ZHVVRSU1ZteFFVa1ZrZDJKc1JSQULgAQD6AQQIABBB!16s%2Fg%2F11f7bgg1tf?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
restaurant,Dhaka,Zephyr Restaurant & Lounge,"Catharsis Tower, House-133 Rd 12, Dhaka 1213",01321-197337,"https://www.google.com/maps/place/Zephyr+Restaurant+%26+Lounge/@23.8341048,90.3460004,13z/data=!4m10!1m2!2m1!1srestaurant+in+Dhaka!3m6!1s0x3755c7d3d2f317dd:0xb8dafb7713fdc66b!8m2!3d23.7916966!4d90.408034!15sChNyZXN0YXVyYW50IGluIERoYWthWhUiE3Jlc3RhdXJhbnQgaW4gZGhha2GSAQpyZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJvZVV0NlFtdEJSUkFC4AEA-gEECCkQQw!16s%2Fg%2F11tcs16nch?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
restaurant,Dhaka,Prego,"The Westin, Main Gulshan Ave, Dhaka 1212",01730-374873,"https://www.google.com/maps/place/Prego/@23.8341048,90.3460004,13z/data=!4m10!1m2!2m1!1srestaurant+in+Dhaka!3m6!1s0x3755c7861ec56e89:0x594a1d3cdd50e674!8m2!3d23.793223!4d90.414601!15sChNyZXN0YXVyYW50IGluIERoYWthWhUiE3Jlc3RhdXJhbnQgaW4gZGhha2GSARJpdGFsaWFuX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUm1hbHA2VVdKQkVBReABAPoBBAh5EEQ!16s%2Fg%2F11m7sm_sz7?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
