Rank,Title,URL,Points,Author,Comment Count,Time Posted
1,"I put all 8,642 Spanish laws in Git – every reform is a commit",https://github.com/EnriqueLop/legalize-es,241,enriquelop,82,2 hours ago
2,Britain today generating 90%+ of electricity from renewables,https://grid.iamkate.com/,133,rwmj,90,2 hours ago
3,I Built an Open-World Engine for the N64 [video],https://www.youtube.com/watch?v=lXxmIw9axWw,82,msephton,6,2 hours ago
4,Cocoa-Way – Native macOS Wayland compositor for running Linux apps seamlessly,https://github.com/J-x-Z/cocoa-way,132,OJFord,43,3 hours ago
5,"You Do Not, in Fact, Have to Hand It to Them",https://2ndbreakfast.audreywatters.com/you-do-not-in-fact-have-to-hand-it-to-them/,14,MindGods,2,33 minutes ago
6,CERN uses tiny AI models burned into silicon for real-time LHC data filtering,https://theopenreader.org/Journalism:CERN_Uses_Tiny_AI_Models_Burned_into_Silicon_for_Real-Time_LHC_Data_Filtering,164,TORcicada,82,5 hours ago
7,A single-file C allocator with explicit heaps and tuning knobs,https://github.com/xtellect/spaces,23,enduku,10,3 hours ago
8,"Go hard on agents, not on your filesystem",https://jai.scs.stanford.edu/,436,mazieres,255,13 hours ago
9,AMD's Ryzen 9 9950X3D2 Dual Edition crams 208MB of cache into a single chip,https://arstechnica.com/gadgets/2026/03/amds-ryzen-9-9950x3d2-dual-edition-crams-208mb-of-cache-into-a-single-chip/,212,zdw,113,11 hours ago
10,Toma (YC W24) is hiring a Senior/Staff Eng to build AI automotive coworkers,https://www.ycombinator.com/companies/toma/jobs/2lrQI7S-sr-staff-software-engineer,,,,
11,Paper Tape Is All You Need – Training a Transformer on a 1976 Minicomputer,https://github.com/dbrll/ATTN-11,42,rahen,4,4 hours ago
12,"Improved Git Diffs with Delta, Fzf and a Little Shell Scripting",https://nickjanetakis.com/blog/awesome-git-diffs-with-delta-fzf-and-a-little-shell-scripting,9,nickjj,1,2 hours ago
13,Make macOS consistently bad unironically,https://lr0.org/blog/p/macos/,456,speckx,323,18 hours ago
14,The bee that everyone wants to save,https://naturalist.bearblog.dev/the-bee-that-everyone-wants-to-save/,160,nivethan,54,11 hours ago
15,Go Naming Conventions: A Practical Guide,https://www.alexedwards.net/blog/go-naming-conventions,38,yurivish,10,5 hours ago
16,No one is happy with NASA's new idea for private space stations,https://arstechnica.com/space/2026/03/what-happens-next-with-nasas-plan-to-replace-the-iss-source-it-could-get-ugly/,39,rbanffy,24,2 hours ago
17,LG's new 1Hz display is the secret behind a new laptop's battery life,https://www.pcworld.com/article/3096432/lgs-new-1hz-display-is-the-secret-behind-a-new-laptops-battery-life.html,274,robotnikman,134,20 hours ago
18,Anatomy of the .claude/ folder,https://blog.dailydoseofds.com/p/anatomy-of-the-claude-folder,525,freedomben,231,23 hours ago
19,"Arm releases first in-house chip, with Meta as debut customer",https://www.cnbc.com/2026/03/24/arm-launches-its-own-cpu-with-meta-as-first-customer.html,41,goplayoutside,10,9 hours ago
20,Nashville library launches Memory Lab for digitizing home movies,https://www.axios.com/local/nashville/2026/03/16/nashville-library-digitize-home-movies,163,toomuchtodo,40,20 hours ago
21,Matadisco – Decentralized Data Discovery,https://matadisco.org/,27,biggestfan,3,5 hours ago
22,Show HN: Twitch Roulette – Find live streamers who need views the most,https://twitchroulette.net/,147,ellg,78,15 hours ago
23,"Byte Interviews Chuck Peddle, Father of the MOS 6502 and Commodore PET (1982)",https://computeradsfromthepast.substack.com/p/byte-interviews-chuck-peddle-father,13,rbanffy,1,1 hour ago
24,Desperately Seeking Space Friends,https://reviewcanada.ca/magazine/2026/04/desperately-seeking-space-friends-review-the-pale-blue-data-point/,23,benbreen,1,7 hours ago
25,Iran-linked hackers breach FBI director's personal email,https://www.reuters.com/world/us/iran-linked-hackers-claim-breach-of-fbi-directors-personal-email-doj-official-2026-03-27/,313,m-hodges,425,23 hours ago
26,‘Energy independence feels practical’: Europeans building mini solar farms,https://www.euronews.com/2026/03/26/suddenly-energy-independence-feels-practical-europeans-are-building-mini-solar-farms-at-ho,320,vrganj,295,1 day ago
27,"Velxio 2.0 – Emulate Arduino, ESP32, and Raspberry Pi 3 in the Browser",https://github.com/davidmonterocrespo24/velxio,167,dmcrespo,46,17 hours ago
28,ISBN Visualization,https://annas-archive.gd/isbn-visualization?,193,Cider9986,30,17 hours ago
29,Meow.camera,https://meow.camera/#4258783365322591678,297,surprisetalk,65,23 hours ago
30,Installing a Let's Encrypt TLS certificate on a Brother printer with Certbot,https://owltec.ca/Other/Installing+a+Let%27s+Encrypt+TLS+certificate+on+a+Brother+printer+automatically+with+Certbot+(%26+Cloudflare),229,8organicbits,53,1 day ago
31,How to implement the Outbox pattern in Go and Postgres,https://www.youtube.com/watch?v=hJ4S-5MirvU,4,der_gopher,,40 minutes ago
